Year,Quarter,cityname,origin,TOT_CountofMkts,TOT_FaredPax,TOT_PctLFMkts,TOT_AvgHubFare,TOT_PctPremium,SH_CountofMkts,SH_FaredPax,SH_PctLFMkts,SH_AvgHubFare,SH_PctPremium,LH_CountofMkts,LH_FaredPax,LH_PctLFMkts,LH_AvgHubFare,LH_PctPremium
2008,2,"Burlington, Vermont",BTV,47,264660,0.6681780397,197.01893864,-3.704461411,15,91670,0.5964874005,168.75067525,4.5639260648,32,172990,0.7061679866,211.99871611,-6.812698899
2008,2,"Buffalo, New York",BUF,79,1220320,0.8307083388,156.80944506,-12.07240603,34,622510,0.7374018088,139.00581629,-4.994679978,45,597810,0.927870059,175.34867483,-17.1664837
2008,2,"Burbank, California",BUR,56,1275510,0.9357982297,141.74338421,-8.200035027,13,894700,0.9728847658,109.29304113,-11.05517837,43,380810,0.8486646884,217.98434941,-4.592366198
2008,2,"Baltimore, Maryland",BWI,123,3995700,0.9188928098,158.82663441,-10.03250362,57,2021070,0.9112549293,131.18535513,-6.865655323,66,1974630,0.9267103204,187.11799041,-12.1753896
2008,2,"Columbia, South Carolina",CAE,50,186140,0.0670463092,276.02370044,30.754456077,28,123310,0.1012083367,254.30565891,29.208780477,22,62830,0,318.64747414,33.251201367
2008,2,"Akron/Canton, Ohio",CAK,36,277170,0.9145650684,152.7537367,-22.66882834,14,133030,0.8424415545,141.33209426,-20.30173172,22,144140,0.9811294575,163.29502359,-24.46096633
2008,2,"Charleston, South Carolina",CHS,69,493110,0.4551519945,213.79848452,3.033681706,40,303770,0.4660433881,198.9324061,-1.904785279,29,189340,0.4376782508,237.64906359,10.505017701
2008,2,"Cedar Rapids/Iowa City, Iowa",CID,37,153910,0,238.01324086,9.183748562,11,39860,0,293.29949574,32.522673957,26,114050,0,218.69092503,0.8579949375
2008,2,"Cleveland, Ohio",CLE,90,1504190,0.4777654419,202.40969612,14.633303015,49,744050,0.4428331429,191.9940508,26.035214757,41,760140,0.5119583235,212.60487187,6.1452256764
2008,2,"Charlotte, North Carolina",CLT,116,2060040,0.2452525194,221.39668754,20.729654561,76,1421710,0.3434526029,204.99972772,24.265025735,40,638330,0.0265379976,257.91654677,14.94070456
2008,2,"Columbus, Ohio",CMH,88,1405020,0.6523109991,179.89800572,-2.23364642,50,719280,0.5282504727,167.81789456,3.871525299,38,685740,0.7824394085,192.56896316,-7.218509102
2008,2,"Colorado Springs, Colorado",COS,62,358580,0.1894974622,209.13108037,-3.167482838,12,113400,0.1316578483,166.32117549,-13.97560722,50,245180,0.2162492862,228.93140346,1.1008031689
2008,2,"Corpus Christi, Texas",CRP,31,129850,0.7711205237,180.63668387,-3.075570085,8,73910,0.777837911,129.77863618,-10.71698503,23,55940,0.7622452628,247.83222024,3.025049532
2008,2,"Cincinnati, Ohio",CVG,77,677020,0,319.90738147,88.898047033,46,340270,0,334.85477768,129.21372771,31,336750,0,304.80374224,58.040938132
2008,2,"Daytona Beach, Florida",DAB,26,112060,0.4343208995,161.43770212,-23.41426707,5,28080,0.6990740741,156.37059829,-20.45186459,21,83980,0.3457966182,163.13196594,-24.31759666
2008,2,"Dallas/Ft.Worth, Texas",DAL,125,1541780,0.9719480081,128.82242765,-12.65410426,45,1286420,0.9725828268,113.01204101,-18.93935195,80,255360,0.96875,208.46997455,10.809891667
2008,2,"Dayton, Ohio",DAY,74,626960,0.6463729744,192.90144443,-6.293500781,40,324410,0.4962239142,191.69982923,1.1242250467,34,302550,0.8073706825,194.18987936,-13.04503055
2008,2,"Washington, D.C.",DCA,161,3232800,0.1743318486,230.77175878,29.623370439,70,1668590,0.1517688587,216.13266153,44.045665995,91,1564210,0.1984004705,246.3877255,18.519370676
2008,2,"Denver, Colorado",DEN,160,5372260,0.8382040333,175.15718666,-3.351043166,38,1467330,0.9594569729,136.44366625,-15.7977259,122,3904930,0.7926416095,189.70431296,0.670789455
2008,2,"Dallas/Ft.Worth, Texas",DFW,168,4972830,0.191068265,223.0672646,22.695222889,58,1303770,0.3134218459,169.71381494,3.6020745317,110,3669060,0.1475909361,242.02596984,28.600683381
2008,2,"Des Moines, Iowa",DSM,55,337450,0,234.05361328,14.601294975,18,93320,0,285.51497428,67.74454199,37,244130,0,214.38223242,-1.315079982
2008,2,"Detroit, Michigan",DTW,129,3699350,0.6094178707,184.6233803,2.4659916939,72,1734550,0.4437635122,185.46080793,22.751999851,57,1964800,0.7556596091,183.88408871,-10.67735763
2008,2,"Eagle, Colorado",EGE,6,5610,0,342.1215508,63.789830933,2,2130,0,283.96755869,35.138568328,4,3480,0,377.7158046,81.49648941
2008,2,"El Paso, Texas",ELP,70,666970,0.7689401322,177.05691201,-10.81501786,22,394690,0.8885454407,141.0885989,-20.63973055,48,272280,0.5955633906,229.19564235,0.2607435653
2008,2,"Newark, New Jersey",EWR,175,4110110,0.2822625185,239.41199055,25.417075908,61,1039840,0.0085686259,232.72784534,52.090155573,114,3070270,0.3749572513,241.67577894,18.631639826
2008,2,"Fargo, North Dakota",FAR,20,72470,0.2492065682,244.60768042,14.838480811,4,20100,0.5303482587,261.58775124,55.48292381,16,52370,0.1413022723,238.09060149,3.4364852377
2008,2,"Fresno, California",FAT,37,173970,0,228.45627867,4.5294995029,8,82420,0,155.93965906,-9.402968995,29,91550,0,293.74103878,12.821765223
2008,2,"Ft. Lauderdale, Florida",FLL,118,4125590,0.9239042173,154.18307527,-18.4739471,23,728530,0.9019807009,125.40086942,-19.81153913,95,3397060,0.9286059122,160.35567759,-18.24523703
2008,2,"Flint, Michigan",FNT,39,215230,0.7499883845,165.10798773,-19.54786751,18,85260,0.5035186488,164.14426578,-21.17411075,21,129970,0.9116719243,165.74018697,-18.45488127
2008,2,"Sioux Falls, South Dakota",FSD,27,97720,0,236.86549222,6.553454762,5,17360,0,348.64267857,34.614273675,22,80360,0,212.71850423,-0.770334324
2008,2,"Spokane, Washington",GEG,58,637450,0.9235077261,154.67908824,-15.17957641,10,335640,0.9804850435,98.652159754,-29.63572819,48,301810,0.8601437991,216.98609688,-5.347446371
2008,2,"Gulfport/Biloxi, Mississippi",GPT,38,163710,0.5991692627,182.6165897,-11.11689193,17,99250,0.6542065491,148.72462972,-22.79539647,21,64460,0.514427552,234.80053366,4.264869517
2008,2,"Grand Rapids, Michigan",GRR,55,311990,0,244.33888746,21.678817236,26,136150,0,246.79828865,33.582160007,29,175840,0,242.43461385,13.693303664
2008,2,"Greensboro/High Point, Nc",GSO,65,392220,0,206.67359773,-2.488611552,44,274660,0,189.91506626,-4.628334476,21,117560,0,245.82720653,1.6267848162
2008,2,"Greenville/Spartanburg, Sc",GSP,45,223850,0,246.34386419,22.213723444,27,160480,0,214.55816052,11.361532399,18,63370,0,326.83888906,45.840787124
2008,2,"Houston, Texas",HOU,130,1712410,0.9862240935,151.96097558,-8.222382495,33,948590,0.9838391718,126.02295333,-12.32936727,97,763820,0.9891859339,184.17347137,-4.417352331
